"PERIODO","ESTU_TIPODOCUMENTO","ESTU_CONSECUTIVO","COLE_AREA_UBICACION","COLE_BILINGUE","COLE_CARACTER","COLE_COD_DANE_ESTABLECIMIENTO","COLE_DEPTO_UBICACION","COLE_GENERO","COLE_JORNADA","COLE_NATURALEZA","ESTU_GENERO","FAMI_CUARTOSHOGAR","FAMI_EDUCACIONMADRE","FAMI_EDUCACIONPADRE","FAMI_ESTRATOVIVIENDA","FAMI_PERSONASHOGAR","FAMI_TIENEAUTOMOVIL","FAMI_TIENECOMPUTADOR","FAMI_TIENEINTERNET","FAMI_TIENELAVADORA","PUNT_INGLES","PUNT_MATEMATICAS","PUNT_SOCIALES_CIUDADANAS","PUNT_C_NATURALES","PUNT_LECTURA_CRITICA","PUNT_GLOBAL"
"20211","CC","SB11202110064593","URBANO","N","ACADÉMICO","311001109419","BOGOTÁ","MIXTO","TARDE","NO OFICIAL","M","Tres","Técnica o tecnológica incompleta","Secundaria (Bachillerato) completa","Estrato 2","3 a 4","No","No","Si","Si","40","50","36","40","38","205"
"20211","TI","SB11202110006383","URBANO","N","ACADÉMICO","311848002823","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","F","Tres","Educación profesional incompleta","Postgrado","Estrato 4","3 a 4","Si","Si","Si","Si","83","58","64","66","63","322"
"20211","TI","SB11202110004391","RURAL","S","ACADÉMICO","411001076558","CUNDINAMARCA","MIXTO","COMPLETA","NO OFICIAL","F","Tres","Postgrado","Educación profesional completa","Estrato 4","3 a 4","Si","Si","Si","Si","88","75","73","69","76","372"
"20211","TI","SB11202110000367","RURAL","S","ACADÉMICO","376892000042","VALLE","MIXTO","COMPLETA","NO OFICIAL","M","Dos","Educación profesional completa","Educación profesional completa","Estrato 6","3 a 4","Si","Si","Si","Si","76","71","64","63","68","336"
"20211","TI","SB11202110001539","RURAL","S","ACADÉMICO","425758800009","CUNDINAMARCA","MIXTO","COMPLETA","NO OFICIAL","F","Dos","Educación profesional completa","Postgrado","Estrato 6","3 a 4","Si","Si","Si","Si","85","71","68","69","72","356"
"20211","CC","SB11202110002521","URBANO","S","ACADÉMICO","308001101153","ATLANTICO","MIXTO","COMPLETA","NO OFICIAL","M","Tres","Postgrado","Postgrado","Estrato 5","3 a 4","Si","Si","Si","Si","84","63","58","58","61","309"
"20211","TI","SB11202110029695","URBANO","N","TÉCNICO/ACADÉMICO","376001000314","VALLE","MIXTO","MAÑANA","NO OFICIAL","M","Dos","No sabe","No sabe","Estrato 3","3 a 4","No","Si","Si","Si","56","40","40","43","39","208"
"20211","TI","SB11202110007044","URBANO","S","ACADÉMICO","376001002121","VALLE","MIXTO","COMPLETA","NO OFICIAL","F","Dos","Postgrado","Postgrado","Estrato 5","1 a 2","Si","Si","Si","Si","84","75","56","62","62","327"
"20211","TI","SB11202110063690","URBANO","N","ACADÉMICO","311001105839","BOGOTÁ","MIXTO","SABATINA","NO OFICIAL","M","Tres","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Estrato 4","5 a 6","Si","Si","Si","Si","37","38","26","42","36","178"
"20211","TI","SB11202110064122","URBANO","N","TÉCNICO/ACADÉMICO","105001011363","ANTIOQUIA","MIXTO","MAÑANA","OFICIAL","M","Dos","Técnica o tecnológica completa","Secundaria (Bachillerato) completa","Estrato 3","3 a 4","No","Si","Si","Si","71","69","60","61","66","323"
"20211","CC","SB11202110003364","URBANO","S","ACADÉMICO","408573012835","ATLANTICO","MIXTO","COMPLETA","NO OFICIAL","F","Cuatro","Postgrado","Postgrado","Estrato 6","7 a 8","Si","Si","Si","Si","84","81","71","69","65","362"
"20211","TI","SB11202110001985","URBANO","N","ACADÉMICO","376001002376","VALLE","MIXTO","COMPLETA","NO OFICIAL","F","Dos","Postgrado","No sabe","Estrato 5","1 a 2","Si","Si","Si","Si","81","80","78","69","72","376"
"20211","TI","SB11202110006926","URBANO","S","ACADÉMICO","311001042667","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","F","Cuatro","Educación profesional completa","Educación profesional completa","Estrato 4","5 a 6","Si","Si","Si","Si","76","58","61","59","63","307"
"20211","TI","SB11202110005450","URBANO","N","ACADÉMICO","319001002135","CAUCA","MIXTO","COMPLETA","NO OFICIAL","M","Dos","Educación profesional completa","Educación profesional completa","Estrato 5","3 a 4","Si","Si","Si","Si","82","60","57","57","63","305"
"20211","TI","SB11202110009687","URBANO","N","TÉCNICO","376563000457","VALLE","MIXTO","MAÑANA","NO OFICIAL","F","Dos","Secundaria (Bachillerato) completa","Técnica o tecnológica completa","Estrato 1","3 a 4","No","Si","Si","Si","72","60","57","61","69","313"
"20211","TI","SB11202110063873","URBANO","N","ACADÉMICO","366001006741","RISARALDA","MIXTO","MAÑANA","NO OFICIAL","F","Cuatro","Técnica o tecnológica completa","Secundaria (Bachillerato) completa","Estrato 4","5 a 6","No","Si","Si","Si","51","48","38","48","47","228"
"20211","TI","SB11202110041978","URBANO","N","ACADÉMICO","376001000861","VALLE","MIXTO","COMPLETA","NO OFICIAL","M","Seis o mas","No sabe","No sabe","Sin Estrato","9 o más","No","No","No","No","83","71","71","76","76","371"
"20211","TI","SB11202110064279","URBANO","N","ACADÉMICO","311001051631","BOGOTÁ","MIXTO","SABATINA","NO OFICIAL","M","Dos","Postgrado","No Aplica","Estrato 3","3 a 4","Si","Si","Si","Si","69","68","64","64","61","323"
"20211","TI","SB11202110010625","URBANO","N","TÉCNICO","476130000571","VALLE","MIXTO","COMPLETA","NO OFICIAL","M","Dos","Educación profesional incompleta","Secundaria (Bachillerato) completa","Estrato 3","1 a 2","Si","Si","Si","Si","75","64","70","70","69","344"
"20211","TI","SB11202110011853","RURAL","S","ACADÉMICO","305001003688","ANTIOQUIA","MIXTO","COMPLETA","NO OFICIAL","F","Tres","Educación profesional completa","Educación profesional completa","Estrato 6","3 a 4","Si","Si","Si","Si","81","64","60","57","59","308"
"20211","TI","SB11202110035519","URBANO",,"ACADÉMICO","376001041761","VALLE","MIXTO","MAÑANA","NO OFICIAL","M","Dos","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Estrato 3","3 a 4","Si","Si","Si","Si","63","78","57","72","63","336"
"20211","TI","SB11202110009100","URBANO","N","ACADÉMICO","376001003526","VALLE","MIXTO","COMPLETA","NO OFICIAL","F","Cuatro","Técnica o tecnológica incompleta","Secundaria (Bachillerato) completa","Estrato 2","3 a 4","No","Si","Si","Si","64","54","57","56","67","295"
"20211","TI","SB11202110012908","URBANO","N","ACADÉMICO","376001026755","VALLE","MIXTO","TARDE","NO OFICIAL","F","Cuatro","Técnica o tecnológica completa","Secundaria (Bachillerato) completa","Estrato 3","3 a 4","Si","Si","Si","Si","49","50","52","39","53","243"
"20211","TI","SB11202110001573","URBANO","S","ACADÉMICO","311769003920","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","F","Cuatro","Postgrado","Postgrado","Estrato 4","3 a 4","Si","Si","Si","Si","88","73","70","71","72","364"
"20211","TI","SB11202110007674","URBANO","N","ACADÉMICO","376001001868","VALLE","MIXTO","COMPLETA","NO OFICIAL","M","Cuatro","Educación profesional completa","Técnica o tecnológica completa","Estrato 5","1 a 2","No","Si","Si","Si","58","45","46","48","56","247"
"20211","TI","SB11202110063672","URBANO","N","ACADÉMICO","376111032580","VALLE","MIXTO","NOCHE","NO OFICIAL","M","Dos","Secundaria (Bachillerato) completa","Educación profesional completa","Estrato 3","3 a 4","No","Si","Si","No","44","46","49","48","52","242"
"20211","CC","SB11202110012446","URBANO","N","ACADÉMICO","311769000866","BOGOTÁ","FEMENINO","COMPLETA","NO OFICIAL","F","Dos","Educación profesional completa","Educación profesional completa","Estrato 5","3 a 4","Si","Si","Si","Si","77","64","63","62","64","322"
"20211","TI","SB11202110002743","URBANO","N","ACADÉMICO","319001000434","CAUCA","MIXTO","MAÑANA","NO OFICIAL","F","Dos","Secundaria (Bachillerato) completa","Técnica o tecnológica completa","Estrato 3","3 a 4","Si","Si","Si","Si","81","57","63","63","65","317"
"20211","TI","SB11202110034617","URBANO","N","TÉCNICO","376001019201","VALLE","MIXTO","MAÑANA","NO OFICIAL","M","Tres","Secundaria (Bachillerato) completa","Educación profesional incompleta","Estrato 2","1 a 2","No","Si","Si","Si","57","60","55","55","68","297"
"20211","TI","SB11202110022971","URBANO","S","ACADÉMICO","311769003474","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","F","Tres","Postgrado","Postgrado","Estrato 5","3 a 4","Si","Si","Si","Si","87","72","76","67","76","369"
"20211","TI","SB11202110008883","URBANO","N","TÉCNICO","319573000508","CAUCA","MIXTO","MAÑANA","NO OFICIAL","F","Dos","Educación profesional completa","Secundaria (Bachillerato) completa","Estrato 2","1 a 2","No","Si","Si","Si","46","47","42","55","43","233"
"20211","TI","SB11202110028062","URBANO","N","TÉCNICO","376111001146","VALLE","MIXTO","MAÑANA","NO OFICIAL","F","Dos","Educación profesional completa","No sabe","Estrato 2","1 a 2","No","Si","Si","No","69","51","47","43","59","257"
"20211","TI","SB11202110003790","URBANO","N","ACADÉMICO","376001026925","VALLE","MIXTO","MAÑANA","NO OFICIAL","M","Tres","Secundaria (Bachillerato) completa","Educación profesional completa","Estrato 2","5 a 6","Si","Si","Si","Si","65","73","65","63","68","335"
"20211","TI","SB11202110007323","URBANO","N","ACADÉMICO","376001001388","VALLE","MASCULINO","COMPLETA","NO OFICIAL","F","Tres","Educación profesional completa","No Aplica","Estrato 3","3 a 4","Si","Si","Si","Si","76","69","67","69","75","352"
"20211","TI","SB11202110003998","URBANO","N","ACADÉMICO","376520000208","VALLE","FEMENINO","COMPLETA","NO OFICIAL","M","Tres","Educación profesional completa","Secundaria (Bachillerato) completa","Estrato 4","3 a 4","Si","Si","Si","Si","59","63","56","59","54","290"
"20211","TI","SB11202110005632","URBANO","N","ACADÉMICO","352001001519","NARIÑO","MIXTO","MAÑANA","NO OFICIAL","F","Seis o mas","Educación profesional completa","Educación profesional incompleta","Estrato 4","7 a 8","Si","Si","Si","Si","63","65","61","63","66","318"
"20211","TI","SB11202110037747","URBANO",,"ACADÉMICO","311001105375","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","M","Tres","Educación profesional completa","Educación profesional completa","Estrato 4","5 a 6","Si","Si","Si","Si","82","75","55","70","56","327"
"20211","TI","SB11202110008744","URBANO",,"ACADÉMICO","376001031341","VALLE","MIXTO","UNICA","NO OFICIAL","M","Cuatro","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","Estrato 6","5 a 6","Si","Si","Si","Si","70","50","39","46","57","248"
"20211","TI","SB11202110030422","RURAL","N","ACADÉMICO","425377800011","CUNDINAMARCA","MIXTO","COMPLETA","NO OFICIAL","M","Tres","No sabe","No sabe","Estrato 4","3 a 4","Si","Si","Si","Si","100","69","73","68","72","364"
"20211","TI","SB11202110009094","URBANO","N","TÉCNICO","319573000508","CAUCA","MIXTO","MAÑANA","NO OFICIAL","M","Dos","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","Estrato 3","3 a 4","No","Si","Si","Si","53","59","50","55","52","270"
"20211","TI","SB11202110037857","URBANO",,"ACADÉMICO","311001105375","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","F","Cuatro","Educación profesional completa","Educación profesional completa","Estrato 6","3 a 4","Si","Si","Si","Si","82","75","62","69","68","348"
"20211","TI","SB11202110009628","URBANO","N","TÉCNICO","376001028219","VALLE","MIXTO","MAÑANA","NO OFICIAL","M",,"Técnica o tecnológica completa","Técnica o tecnológica completa","Estrato 3",,,,"Si",,"70","53","34","41","53","236"
"20211","TI","SB11202110009030","URBANO","N","ACADÉMICO","376001003437","VALLE","MIXTO","UNICA","NO OFICIAL","M","Tres","Educación profesional completa","Educación profesional completa","Estrato 3","5 a 6","No","Si","Si","Si","59","60","53","51","62","283"
"20211","TI","SB11202110014476","URBANO","N","ACADÉMICO","376001011464","VALLE","MIXTO","COMPLETA","NO OFICIAL","M","Dos","Educación profesional completa","Postgrado","Estrato 5","1 a 2","Si","Si","Si","Si","85","79","76","70","72","375"
"20211","CC","SB11202110006355","RURAL","S","ACADÉMICO","376001002279","VALLE","MIXTO","COMPLETA","NO OFICIAL","F","Tres","Educación profesional completa","Educación profesional completa","Estrato 6","3 a 4","Si","Si","Si","Si","82","70","65","59","61","326"
"20211","TI","SB11202110015499","RURAL","N","ACADÉMICO","305001010781","ANTIOQUIA","MIXTO","COMPLETA","NO OFICIAL","F","Cuatro","Postgrado","Postgrado","Estrato 6","5 a 6","Si","Si","Si","Si","81","69","59","66","68","333"
"20211","TI","SB11202110022294","RURAL","N","ACADÉMICO","311001002347","CUNDINAMARCA","MIXTO","COMPLETA","NO OFICIAL","M","Tres","Postgrado","Postgrado","Estrato 3","3 a 4","Si","Si","Si","Si","70","66","58","61","57","306"
"20211","TI","SB11202110003563","RURAL","S","ACADÉMICO","425175032674","CUNDINAMARCA","MIXTO","COMPLETA","NO OFICIAL","F","Cinco","Postgrado","Postgrado","Estrato 5","5 a 6","Si","Si","Si","Si","81","56","65","51","77","318"
"20211","TI","SB11202110001878","URBANO","N","ACADÉMICO","311769001846","BOGOTÁ","MASCULINO","COMPLETA","NO OFICIAL","M","Cuatro","Postgrado","Postgrado","Estrato 4","5 a 6","Si","Si","Si","Si","81","68","62","62","56","317"
"20211","TI","SB11202110004599","RURAL","N","TÉCNICO/ACADÉMICO","476248000478","VALLE","MIXTO","COMPLETA","NO OFICIAL","M","Dos","Secundaria (Bachillerato) completa","No sabe","Estrato 2","5 a 6","Si","Si","Si","Si","63","49","61","55","57","280"
"20211","TI","SB11202110013474","URBANO",,"ACADÉMICO","305001021163","ANTIOQUIA","MIXTO","COMPLETA","NO OFICIAL","M","Tres","Educación profesional incompleta","Educación profesional completa","Estrato 6","3 a 4","Si","Si","Si","Si","80","69","62","67","70","340"
"20211","TI","SB11202110010835","URBANO","N","TÉCNICO","376001000900","VALLE","MIXTO","MAÑANA","NO OFICIAL","F","Seis o mas","Primaria completa","Secundaria (Bachillerato) incompleta","Estrato 3","7 a 8","Si","Si","Si","Si","66","67","57","66","67","322"
"20211","TI","SB11202110007199","URBANO","N","ACADÉMICO","376001010417","VALLE","MIXTO","COMPLETA","NO OFICIAL","F","Tres","Técnica o tecnológica completa","Secundaria (Bachillerato) completa","Estrato 3","3 a 4","Si","Si","Si","Si","66","56","53","60","68","299"
"20211","TI","SB11202110003360","URBANO",,"ACADÉMICO","376520005862","VALLE","MIXTO","COMPLETA","NO OFICIAL","F","Tres","Técnica o tecnológica incompleta","Educación profesional completa","Estrato 4","3 a 4","No","Si","Si","Si","44","44","41","34","50","212"
"20211","CC","SB11202110038141","URBANO",,,"311001800308","BOGOTÁ","MIXTO","SABATINA","NO OFICIAL","F","Dos","Secundaria (Bachillerato) completa","Educación profesional completa","Estrato 2","5 a 6","No","Si","Si","Si","50","43","46","53","47","237"
"20211","CC","SB11202110012326","URBANO","N","ACADÉMICO","311769000866","BOGOTÁ","FEMENINO","COMPLETA","NO OFICIAL","F","Tres","Educación profesional completa","Educación profesional completa","Estrato 6","3 a 4","Si","Si","Si","Si","83","78","60","64","65","340"
"20211","TI","SB11202110008368","URBANO","N","ACADÉMICO","368001000516","SANTANDER","MIXTO","COMPLETA","NO OFICIAL","F","Dos","Educación profesional completa","Postgrado","Estrato 4","3 a 4","Si","Si","Si","Si","88","100","74","75","100","437"
"20211","TI","SB11202110015310","RURAL","S","ACADÉMICO","325175000549","CUNDINAMARCA","MIXTO","COMPLETA","NO OFICIAL","F","Tres","Postgrado","Postgrado","Estrato 4","3 a 4","Si","Si","Si","Si","70","56","51","53","63","284"
"20211","CC","SB11202110065336","URBANO","N","ACADÉMICO","311001051631","BOGOTÁ","MIXTO","SABATINA","NO OFICIAL","M","Tres","Educación profesional completa","Educación profesional completa","Estrato 3","3 a 4","Si","Si","Si","Si","56","40","54","48","61","256"
"20211","TI","SB11202110006572","URBANO","N","TÉCNICO","376001012789","VALLE","MIXTO","MAÑANA","NO OFICIAL","M","Tres","No sabe","Secundaria (Bachillerato) completa","Estrato 3","3 a 4","Si","Si","Si","Si","52","51","47","50","49","247"
"20211","TI","SB11202110001900","URBANO","S","ACADÉMICO","311001019941","BOGOTÁ","MIXTO","COMPLETA","NO OFICIAL","F",,"Educación profesional completa","Postgrado","Estrato 6",,,,"Si",,"75","53","58","57","63","295"
"20211","TI","SB11202110006503","URBANO","N","TÉCNICO","376001001337","VALLE","FEMENINO","COMPLETA","NO OFICIAL","F","Dos","Educación profesional completa","Secundaria (Bachillerato) completa","Estrato 2","3 a 4","No","Si","Si","Si","42","36","46","36","56","217"
"20211","TI","SB11202110010636","URBANO","N","TÉCNICO","476130000571","VALLE","MIXTO","COMPLETA","NO OFICIAL","F",,"Educación profesional completa","Postgrado","Estrato 2",,,,"Si",,"80","74","69","71","67","355"
"20211","TI","SB11202110001561","URBANO","S","ACADÉMICO","320001002753","CESAR","MIXTO","COMPLETA","NO OFICIAL","F","Cuatro","Educación profesional completa","Postgrado","Estrato 5","5 a 6","Si","Si","Si","Si","72","52","56","57","51","277"
"20211","CC","SB11202110011265","URBANO","N","TÉCNICO","376001028219","VALLE","MIXTO","MAÑANA","NO OFICIAL","F","Cuatro","Técnica o tecnológica incompleta","Técnica o tecnológica incompleta","Estrato 3","5 a 6","Si","Si","Si","Si","46","38","36","49","52","220"
"20211","TI","SB11202110064467","URBANO","N","ACADÉMICO","344430001443","LA GUAJIRA","MIXTO","COMPLETA","NO OFICIAL","M","Cuatro","Educación profesional completa","Educación profesional completa","Estrato 6","3 a 4","Si","Si",,"Si","34","31","34","40","31","170"
"20211","TI","SB11202110009242","URBANO",,"ACADÉMICO","376001035843","VALLE","MIXTO","UNICA","NO OFICIAL","F","Dos","No sabe","Educación profesional completa","Estrato 4","3 a 4","Si","Si","Si","Si","81","62","68","65","70","337"
"20211","TI","SB11202110011214","URBANO","N","ACADÉMICO","376001009176","VALLE","MIXTO","COMPLETA","NO OFICIAL","F","Cuatro","Postgrado","Postgrado","Estrato 5","3 a 4","Si","Si","Si","Si","76","63","64","67","66","329"
"20211","TI","SB11202110003229","URBANO","N","ACADÉMICO","305001003769","ANTIOQUIA","FEMENINO","COMPLETA","NO OFICIAL","F","Cinco","Educación profesional completa","Educación profesional completa","Estrato 6","5 a 6","Si","Si","Si","Si","81","64","62","61","65","322"
"20211","TI","SB11202110008450","URBANO","N","ACADÉMICO","368001000516","SANTANDER","MIXTO","COMPLETA","NO OFICIAL","F","Tres","Educación profesional completa","Postgrado","Estrato 4","3 a 4","Si","Si","Si","Si","100","78","68","69","100","402"
"20211","TI","SB11202110003256","URBANO","N","ACADÉMICO","319001000051","CAUCA","MIXTO","MAÑANA","NO OFICIAL","F","Tres","Educación profesional completa","Educación profesional completa","Estrato 3","3 a 4","Si","Si","Si","Si","54","57","64","55","66","300"
"20211","TI","SB11202110004574","URBANO","N","ACADÉMICO","376001013246","VALLE","MIXTO","COMPLETA","NO OFICIAL","F","Tres","Educación profesional completa","Educación profesional completa","Estrato 4","3 a 4","Si","Si","Si","Si","65","56","52","58","50","274"
"20211","TI","SB11202110011038","URBANO","N","TÉCNICO","376001028219","VALLE","MIXTO","MAÑANA","NO OFICIAL","F","Tres","Secundaria (Bachillerato) completa","Educación profesional completa","Estrato 4","1 a 2","No","Si","Si","Si","63","55","63","54","64","297"
"20211","TI","SB11202110014228","RURAL","S","ACADÉMICO","425175032328","CUNDINAMARCA","MIXTO","COMPLETA","NO OFICIAL","F","Tres","Educación profesional completa","Educación profesional completa","Estrato 5","3 a 4","Si","Si","Si","Si","85","59","69","57","69","326"
"20211","TI","SB11202110009522","URBANO","N","TÉCNICO","376001028219","VALLE","MIXTO","MAÑANA","NO OFICIAL","M","Dos","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","Estrato 3","3 a 4","Si","Si","Si","Si","49","55","52","51","52","261"
"20211","TI","SB11202110063831","URBANO",,,"308001079519","ATLANTICO","MIXTO","COMPLETA","NO OFICIAL","F","Cuatro","Educación profesional completa","Educación profesional completa","Estrato 5","5 a 6","Si","Si","Si","Si","66","26","46","46","65","237"
"20211","TI","SB11202110001731","URBANO",,"ACADÉMICO","308573074909","ATLANTICO","MIXTO","COMPLETA","NO OFICIAL","F","Dos","Educación profesional completa","Educación profesional completa","Estrato 4","3 a 4","Si","Si","Si","Si","89","63","55","56","61","305"
"20211","TI","SB11202110004907","URBANO",,,"320001791847","CESAR","MIXTO","COMPLETA","NO OFICIAL","F","Cuatro","Postgrado","Secundaria (Bachillerato) completa","Estrato 6","3 a 4","Si","Si","Si","Si","86","66","70","67","72","350"
"20211","TI","SB11202110005073","URBANO","N","ACADÉMICO","376520004688","VALLE","MIXTO","MAÑANA","NO OFICIAL","M","Tres","Postgrado","Postgrado","Estrato 2","3 a 4","No","Si","Si","Si","57","66","50","54","57","284"
"20211","TI","SB11202110005063","URBANO","N","ACADÉMICO","376001002082","VALLE","FEMENINO","COMPLETA","NO OFICIAL","F","Tres","Educación profesional completa","Educación profesional completa","Estrato 4","3 a 4","Si","Si","Si","Si","57","53","57","55","63","285"
"20211","TI","SB11202110017373","URBANO","N","TÉCNICO/ACADÉMICO","376001001426","VALLE","FEMENINO","COMPLETA","NO OFICIAL","F","Dos","Técnica o tecnológica completa","Postgrado","Estrato 4","1 a 2","Si","Si","Si","Si","72","70","57","61","68","323"
"20211","TI","SB11202110041223","URBANO",,"ACADÉMICO","376001040840","VALLE","MIXTO","COMPLETA","NO OFICIAL","M","Tres","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","Estrato 4","3 a 4","Si","Si","Si","Si","54","33","44","37","40","198"
